,query,id,precision
2312,Штраф за непредоставление услуг,72,1.0
2328,штраф за ложный вызов,1557,1.0
2329,штраф за незаконное использование наименования россия,1220,0.75
2346,штрафы за нарушения на маломерном судне,567,1.0
2352,штраф за нарушение сроков хранения,1609,1.0
2358,штраф за выдачу товара без разрешения таможенного органа,1317,1.0
2373,штраф за грубое нарушение бухгалтерского учета,1130,1.0
2386,штрафы за нарушение эксплуатации самоходных машин,440,1.0
2388,штраф за нарушение при перевозке груза,714,1.0
2404,штрафы за перевозку тяжеловесных и крупногабаритных грузов,570,1.0
2410,штраф за нарушение правил продажи продовольственных товаров,1051,0.8
2412,штраф за необоснованный отказ от заключения коллективного договора,56,1.0
2426,штрафы за Нарушение законодательства об исполнительном производстве,1373,1.0
2431,"штрафы) за нарушение законодательства Российской Федерации о контрактной системе в сфере закупок товаров,",248,1.0
2440,штраф регистрационный знак,1617,1.0
2446,штраф за неисполнение неимущественного требования,1379,1.3333333333333333
2447,штраф для монополистов,1543,1.0
2475,штраф за стоянку на месте инвалида,75,1.0
2489,штраф за без места жительства,1561,1.0
2504,штраф за использование земель не по назначению,340,1.0
2505,штраф за нарушение порядка согласования сделок,328,1.0
2530,штраф за нарушение авторских прав,210,1.0
2539,штраф за неисполнение обязанности,854,1.0
2541,"штрафные санкции объекта, оказывающего негативное воздействие на окружающую среду",430,0.8571428571428571
2575,штрафы при финансовом контроле,1509,1.0
2579,штраф за нарушение регистрации в фсс,1266,0.8
2582,штрафы для государственных заказчиков,1100,1.0
2587,штраф за невыполнение требований прокурора,1363,1.0
2590,штрафы за нарушение в сфере охраны здоровья,189,1.0
2595,штраф нарушение маркировки пищевой продукции,1076,1.0
2596,штрафы за коллективный договор,56,1.0
2600,штраф за остановку для инвалидов,75,1.0
2615,штраф за преднамеренное банкротство,934,1.0
2637,штраф 2011 административный,1686,1.0
2640,штраф за причинение легкого и среднего вреда здоровью,740,0.8
2659,штрафы новое,134,1.0
2665,штраф инвалид,73,1.0
2666,штраф за проживание без паспорта,1559,1.0
2672,штрафы в бюджет,1139,1.0
2686,штрафы за нарушение должностного лица,1502,1.0
2688,штраф за нецелевое расходование бюджетных средств,1139,0.75
2692,штраф за распитие,1678,1.0
2701,штрафы за нарушение законодательства о рынке ценных бумаг,1261,1.0
2712,ШТРАФ ЗА РЕГИСТРАЦИЮ,1660,1.0
2736,штраф за отсутствие информации о товаре,902,1.0
2768,штраф за нарушение иностранным гражданином режима пребывания в РФ,1396,1.0
2786,штраф в требовании,1636,1.0
2790,штраф за ведение деятельности,1603,1.0
2796,штрафные санкции за нарушение прав потребителя,922,0.75
2817,штраф потребителю,920,1.0
2822,штраф в принудительном порядке,1364,1.0
2851,штраф регистрация по месту проживания,1561,1.0
2857,штрафы за нарушения правил по отходам,367,1.0
2862,штрафы за нарушение правил водопользования,357,1.0
2872,штраф за несвоевременную уплату налога сроки,1340,0.75
2881,штраф законодательства о туризме,1085,1.0
2887,штраф управляющая,614,1.0
2893,штрафы в фондах,1129,2.0
2904,штрафы поселений,220,1.0
2906,штраф не зарегистрированные,632,1.0
2912,штраф за сокрытие несчастного случая учет,1273,0.75
2919,штраф профессионального участника,1248,1.0
